NMEAS,NSTEP,NSAMPLE,TIMESTAMP(s),TIME_ERR(ms),VOLTAGE(V),CURRENT(A)
0,0,0,0.010395,87.000000,0.001000,-0.001900
1,0,1,2.000083,87.000000,0.001000,-0.001300
2,0,2,3.000099,142.000000,0.001000,-0.001900
3,0,3,4.000085,136.000000,0.001000,-0.001900
4,0,4,5.000074,151.000000,0.001000,-0.000800
5,1,0,6.000081,110.000000,0.052000,0.094200
6,1,1,7.000075,91.000000,0.052000,0.093100
7,1,2,8.000076,86.000000,0.052000,0.093100
8,1,3,9.000083,88.000000,0.052000,0.092500
9,1,4,10.000084,89.000000,0.052000,0.092500
10,2,0,11.000077,150.000000,0.103000,0.181500
11,2,1,12.000077,140.000000,0.103000,0.179300
12,2,2,13.000081,144.000000,0.103000,0.176000
13,2,3,14.000085,105.000000,0.103000,0.174900
14,2,4,15.000077,88.000000,0.103000,0.174900
15,3,0,16.000080,87.000000,0.153000,0.253500
16,3,1,17.000074,90.000000,0.153000,0.249100
17,3,2,18.000084,87.000000,0.153000,0.244800
18,3,3,19.000080,89.000000,0.153000,0.242600
19,3,4,20.000082,138.000000,0.153000,0.241500
20,4,0,21.000080,125.000000,0.204000,0.310300
21,4,1,22.000082,135.000000,0.217000,0.302100
22,4,2,23.000078,106.000000,0.217000,0.297200
23,4,3,24.000088,89.000000,0.217000,0.295000
24,4,4,25.000080,91.000000,0.217000,0.293300
25,5,0,26.000078,90.000000,0.242000,0.336500
26,5,1,27.000080,141.000000,0.255000,0.329900
27,5,2,28.000082,138.000000,0.242000,0.327700
28,5,3,29.000080,100.000000,0.255000,0.324500
29,5,4,30.000076,90.000000,0.242000,0.323400
30,6,0,31.000082,91.000000,0.306000,0.374700
31,6,1,32.000076,88.000000,0.293000,0.365900
32,6,2,33.000080,91.000000,0.293000,0.360500
33,6,3,34.000076,87.000000,0.306000,0.358300
34,6,4,35.000084,144.000000,0.306000,0.358300
35,7,0,36.000088,138.000000,0.356000,0.401900
36,7,1,37.000080,100.000000,0.356000,0.393200
37,7,2,38.001041,88.000000,0.356000,0.388800
38,7,3,39.000084,92.000000,0.356000,0.385600
39,7,4,40.000080,88.000000,0.356000,0.384500
40,8,0,41.000080,88.000000,0.407000,0.424300
41,8,1,42.000080,91.000000,0.407000,0.415000
42,8,2,43.000076,163.000000,0.407000,0.410700
43,8,3,44.000088,139.000000,0.407000,0.408500
44,8,4,45.000080,135.000000,0.407000,0.407400
45,9,0,46.000080,102.000000,0.458000,0.442300
46,9,1,47.000080,92.000000,0.458000,0.433600
47,9,2,48.000072,89.000000,0.458000,0.429200
48,9,3,49.000072,93.000000,0.458000,0.428100
49,9,4,50.000076,89.000000,0.458000,0.427000
50,10,0,51.000076,144.000000,0.508000,0.456500
51,10,1,52.000076,141.000000,0.508000,0.447800
52,10,2,53.000080,124.000000,0.508000,0.445600
53,10,3,54.000076,134.000000,0.508000,0.444000
54,10,4,55.000076,104.000000,0.508000,0.443400
55,11,0,56.000084,92.000000,0.559000,0.471800
56,11,1,57.000080,89.000000,0.559000,0.463100
57,11,2,58.000080,92.000000,0.559000,0.460900
58,11,3,59.000076,89.000000,0.559000,0.458700
