NMEAS,NSTEP,NSAMPLE,TIMESTAMP(s),TIME_ERR(ms),VOLTAGE(V),CURRENT(A)
0,0,0,0.010480,148.000000,0.004000,0.002400
1,0,1,2.000089,127.000000,0.004000,0.002400
2,0,2,3.000079,127.000000,0.004000,0.002400
3,0,3,4.000080,102.000000,0.004000,0.002400
4,0,4,5.000078,89.000000,0.004000,0.002400
5,1,0,6.000074,89.000000,0.511000,0.219200
6,1,1,7.000075,93.000000,0.511000,0.205500
7,1,2,8.000079,89.000000,0.511000,0.203900
8,1,3,9.000072,92.000000,0.511000,0.203300
9,1,4,10.000075,88.000000,0.511000,0.203300
10,2,0,11.000077,88.000000,1.005000,0.259700
11,2,1,12.000080,87.000000,1.005000,0.254800
12,2,2,13.000076,172.000000,1.005000,0.254300
13,2,3,14.000074,149.000000,1.005000,0.254300
14,2,4,15.000078,140.000000,1.005000,0.254300
15,3,0,16.000078,139.000000,1.511000,0.288200
16,3,1,17.000078,149.000000,1.511000,0.286600
17,3,2,18.000072,112.000000,1.511000,0.287100
18,3,3,19.000080,87.000000,1.511000,0.286600
19,3,4,20.000078,89.000000,1.511000,0.286600
20,4,0,21.000080,88.000000,2.005000,0.315600
21,4,1,22.000071,89.000000,2.005000,0.315100
22,4,2,23.000076,92.000000,2.005000,0.315100
23,4,3,24.000072,89.000000,2.005000,0.315100
24,4,4,25.000076,180.000000,2.005000,0.314500
25,5,0,26.000078,146.000000,2.500000,0.341900
26,5,1,27.000078,142.000000,2.500000,0.341300
27,5,2,28.000080,105.000000,2.500000,0.341300
28,5,3,29.000080,89.000000,2.500000,0.341300
29,5,4,30.000080,92.000000,2.500000,0.341300
30,6,0,31.000084,92.000000,3.006000,0.366500
31,6,1,32.000080,92.000000,3.006000,0.366500
32,6,2,33.000072,87.000000,3.006000,0.366500
33,6,3,34.000080,144.000000,3.006000,0.366500
34,6,4,35.000080,141.000000,3.006000,0.366500
35,7,0,36.000080,100.000000,3.500000,0.391200
36,7,1,37.000080,90.000000,3.500000,0.390600
37,7,2,38.000080,86.000000,3.500000,0.390600
38,7,3,39.000072,88.000000,3.500000,0.390600
39,7,4,40.000072,92.000000,3.500000,0.390600
40,8,0,41.000076,88.000000,4.007000,0.414200
41,8,1,42.000076,151.000000,4.007000,0.414200
42,8,2,43.000072,87.000000,4.007000,0.414200
43,8,3,44.000076,145.000000,3.994000,0.414200
44,8,4,45.000080,143.000000,4.007000,0.413600
45,9,0,46.000080,145.000000,4.501000,0.436600
46,9,1,47.000088,101.000000,4.501000,0.436600
47,9,2,48.000080,92.000000,4.501000,0.436100
48,9,3,49.000080,90.000000,4.501000,0.436100
49,9,4,50.000076,93.000000,4.501000,0.436100
50,10,0,51.000076,88.000000,5.008000,0.458500
51,10,1,52.000076,90.000000,5.008000,0.458500
52,10,2,53.000080,169.000000,5.008000,0.458500
53,10,3,54.000076,147.000000,5.008000,0.458500
54,10,4,55.000080,138.000000,5.008000,0.458000
55,11,0,56.000080,140.000000,5.514000,0.479300
56,11,1,57.000080,132.000000,5.514000,0.479300
57,11,2,58.000076,102.000000,5.514000,0.479300
58,11,3,59.000080,93.000000,5.514000,0.479300
59,11,4,60.000080,90.000000,5.514000,0.479300
60,12,0,61.000080,92.000000,6.008000,0.499600
61,12,1,62.000080,93.000000,6.008000,0.499600
62,12,2,63.000072,91.000000,6.008000,0.499600
63,12,3,64.000076,88.000000,6.008000,0.499600
64,12,4,65.000076,92.000000,6.008000,0.499600
65,13,0,66.000076,148.000000,6.515000,0.519300
66,13,1,67.000084,146.000000,6.515000,0.519300
67,13,2,68.000084,104.000000,6.515000,0.519300
68,13,3,69.000084,114.000000,6.503000,0.519300
69,13,4,70.000076,92.000000,6.515000,0.519300
70,14,0,71.000076,93.000000,7.009000,0.538500
71,14,1,72.000076,87.000000,7.009000,0.537900
72,14,2,73.000076,93.000000,7.009000,0.537900
73,14,3,74.000084,90.000000,7.009000,0.537900
74,14,4,75.000076,87.000000,7.009000,0.537900
75,15,0,76.000084,143.000000,7.503000,0.556500
76,15,1,77.000084,146.000000,7.503000,0.556500
77,15,2,78.000084,103.000000,7.503000,0.556500
78,15,3,79.000084,87.000000,7.503000,0.556500
79,15,4,80.000076,93.000000,7.503000,0.556500
80,16,0,81.000076,93.000000,8.010000,0.574600
81,16,1,82.000076,89.000000,8.010000,0.574600
82,16,2,83.000084,93.000000,8.010000,0.574600
83,16,3,84.000076,89.000000,8.010000,0.574600
84,16,4,85.000076,93.000000,8.010000,0.574600
85,17,0,86.000076,89.000000,8.504000,0.592100
86,17,1,87.000084,142.000000,8.504000,0.592100
87,17,2,88.000076,138.000000,8.504000,0.592100
88,17,3,89.000084,102.000000,8.504000,0.592100
89,17,4,90.000084,93.000000,8.504000,0.592100
90,18,0,91.000076,89.000000,9.011000,0.609100
91,18,1,92.000076,90.000000,9.011000,0.609100
92,18,2,93.000076,88.000000,9.011000,0.609100
93,18,3,94.000076,154.000000,9.011000,0.609100
94,18,4,95.000076,166.000000,9.011000,0.609100
95,19,0,96.000076,181.000000,9.505000,0.625500
96,19,1,97.000076,91.000000,9.505000,0.625500
97,19,2,98.000076,151.000000,9.505000,0.625500
98,19,3,99.000076,148.000000,9.505000,0.625500
99,19,4,100.000084,105.000000,9.505000,0.625500
100,20,0,101.000076,94.000000,9.999000,0.642000
101,20,1,102.000084,104.000000,9.999000,0.642000
102,20,2,103.000076,88.000000,9.999000,0.642000
103,20,3,104.000076,93.000000,9.999000,0.642000
