NMEAS,NSTEP,NSAMPLE,TIMESTAMP(s),TIME_ERR(ms),VOLTAGE(V),CURRENT(A)
0,0,0,0.010664,148.000000,0.004000,0.002400
1,0,1,2.000093,124.000000,0.004000,0.002400
2,0,2,3.000078,125.000000,0.004000,0.002400
3,0,3,4.000086,100.000000,0.004000,0.002400
4,0,4,5.000085,88.000000,0.004000,0.002400
5,1,0,6.000083,87.000000,0.055000,0.039600
6,1,1,7.000080,90.000000,0.067000,0.039600
7,1,2,8.000083,85.000000,0.055000,0.039600
8,1,3,9.000079,87.000000,0.055000,0.039600
9,1,4,10.000078,89.000000,0.055000,0.039600
10,2,0,11.000078,89.000000,0.105000,0.074100
11,2,1,12.000085,90.000000,0.105000,0.073000
12,2,2,13.000080,174.000000,0.105000,0.073000
13,2,3,14.000078,164.000000,0.105000,0.073000
14,2,4,15.000080,174.000000,0.105000,0.073000
15,3,0,16.000078,161.000000,0.156000,0.103700
16,3,1,17.000080,150.000000,0.156000,0.102000
17,3,2,18.000086,166.000000,0.156000,0.101500
18,3,3,19.000078,126.000000,0.169000,0.101500
19,3,4,20.000086,103.000000,0.156000,0.101500
20,4,0,21.000080,90.000000,0.207000,0.121200
21,4,1,22.000084,87.000000,0.207000,0.120100
22,4,2,23.000078,88.000000,0.207000,0.119600
23,4,3,24.000076,92.000000,0.207000,0.119600
24,4,4,25.000080,150.000000,0.207000,0.119000
25,5,0,26.000084,149.000000,0.257000,0.141500
26,5,1,27.000086,125.000000,0.245000,0.139800
27,5,2,28.000084,102.000000,0.245000,0.139300
28,5,3,29.000080,104.000000,0.257000,0.139300
29,5,4,30.000082,86.000000,0.245000,0.139300
30,6,0,31.000078,86.000000,0.308000,0.158400
31,6,1,32.000076,89.000000,0.295000,0.156300
32,6,2,33.000080,92.000000,0.308000,0.155700
33,6,3,34.000076,149.000000,0.308000,0.155700
34,6,4,35.000080,145.000000,0.295000,0.155700
35,7,0,36.000088,120.000000,0.359000,0.172100
36,7,1,37.000088,97.000000,0.359000,0.169900
37,7,2,38.000084,92.000000,0.359000,0.169400
38,7,3,39.000076,86.000000,0.359000,0.168900
39,7,4,40.000080,90.000000,0.359000,0.169400
40,8,0,41.000080,90.000000,0.409000,0.183100
41,8,1,42.000080,154.000000,0.409000,0.181400
42,8,2,43.000076,151.000000,0.409000,0.181400
43,8,3,44.000084,162.000000,0.409000,0.180900
44,8,4,45.000084,125.000000,0.409000,0.180900
45,9,0,46.000080,99.000000,0.460000,0.192900
46,9,1,47.000088,103.000000,0.460000,0.191300
47,9,2,48.000080,87.000000,0.460000,0.191300
48,9,3,49.000076,87.000000,0.460000,0.190800
49,9,4,50.000076,89.000000,0.460000,0.191300
50,10,0,51.000080,152.000000,0.511000,0.201200
51,10,1,52.000080,148.000000,0.511000,0.200100
52,10,2,53.000084,125.000000,0.511000,0.199500
53,10,3,54.000072,102.000000,0.511000,0.199500
54,10,4,55.000076,92.000000,0.511000,0.199500
55,11,0,56.000076,86.000000,0.561000,0.208800
56,11,1,57.000080,89.000000,0.561000,0.207700
57,11,2,58.000084,86.000000,0.561000,0.207200
58,11,3,59.000080,154.000000,0.561000,0.207200
59,11,4,60.000084,149.000000,0.561000,0.207200
60,12,0,61.000084,164.000000,0.612000,0.215400
61,12,1,62.000072,121.000000,0.612000,0.214800
62,12,2,63.000084,124.000000,0.612000,0.214300
63,12,3,64.000076,101.000000,0.612000,0.214300
64,12,4,65.000084,106.000000,0.612000,0.214300
65,13,0,66.000084,100.000000,0.663000,0.222000
66,13,1,67.000084,89.000000,0.663000,0.220300
67,13,2,68.000084,87.000000,0.663000,0.220300
68,13,3,69.000084,87.000000,0.663000,0.220300
69,13,4,70.000092,90.000000,0.663000,0.220300
70,14,0,71.000076,145.000000,0.701000,0.225800
71,14,1,72.000076,135.000000,0.701000,0.224700
72,14,2,73.000084,105.000000,0.701000,0.224700
73,14,3,74.000084,103.000000,0.701000,0.224700
74,14,4,75.000076,106.000000,0.701000,0.224700
75,15,0,76.000084,107.000000,0.751000,0.231300
76,15,1,77.000084,90.000000,0.751000,0.230200
77,15,2,78.000076,92.000000,0.751000,0.230200
78,15,3,79.000092,87.000000,0.751000,0.230200
79,15,4,80.000084,91.000000,0.751000,0.230200
80,16,0,81.000076,90.000000,0.802000,0.235700
81,16,1,82.000076,87.000000,0.802000,0.235100
82,16,2,83.000084,151.000000,0.802000,0.235100
83,16,3,84.000076,87.000000,0.802000,0.235100
84,16,4,85.000076,142.000000,0.802000,0.235100
85,17,0,86.000084,162.000000,0.853000,0.240600
86,17,1,87.000084,150.000000,0.853000,0.239500
87,17,2,88.000084,113.000000,0.853000,0.239500
88,17,3,89.000092,100.000000,0.853000,0.240000
89,17,4,90.000076,89.000000,0.853000,0.239500
90,18,0,91.000076,89.000000,0.903000,0.244400
91,18,1,92.000076,92.000000,0.903000,0.243900
92,18,2,93.000076,89.000000,0.903000,0.243900
93,18,3,94.000076,93.000000,0.903000,0.243900
94,18,4,95.000076,144.000000,0.903000,0.243900
95,19,0,96.000084,137.000000,0.954000,0.248800
96,19,1,97.000084,141.000000,0.954000,0.248200
97,19,2,98.000076,103.000000,0.954000,0.248200
98,19,3,99.000092,89.000000,0.954000,0.247700
99,19,4,100.000076,92.000000,0.954000,0.247700
100,20,0,101.000076,92.000000,1.005000,0.252600
101,20,1,102.000084,89.000000,1.005000,0.252100
102,20,2,103.000084,92.000000,1.005000,0.252100
103,20,3,104.000076,88.000000,1.005000,0.252100
104,20,4,105.000076,152.000000,1.005000,0.252100
105,20,0,106.000076,150.000000,1.005000,0.252100
106,20,1,107.000076,120.000000,1.005000,0.252100
107,20,2,108.000084,137.000000,1.005000,0.252100
108,20,3,109.000076,103.000000,1.005000,0.252100
109,20,4,110.000084,91.000000,1.005000,0.252100
110,19,0,111.000084,92.000000,0.954000,0.247200
111,19,1,112.000076,87.000000,0.954000,0.247700
112,19,2,113.000084,90.000000,0.954000,0.247700
113,19,3,114.000076,92.000000,0.954000,0.247700
114,19,4,115.000084,87.000000,0.954000,0.247700
115,18,0,116.000076,148.000000,0.903000,0.243300
116,18,1,117.000076,165.000000,0.903000,0.243900
117,18,2,118.000084,148.000000,0.903000,0.243900
118,18,3,119.000076,121.000000,0.903000,0.243900
